"Project","Description","Date","Duration"
"Dx Pro Designer","Wire lenghts","2026-07-27","3,50"
"Dx Pro Designer","MtP improvements","2026-07-27","3,00"
"Dx Pro Designer","Prod release","2026-07-27","0,50"
"Dx Pro Designer","MtP improvements","2026-07-27","1,00"
"Dx Pro Designer","Wire lengths","2026-07-28","1,50"
"Dx Pro Designer","iu restrictions","2026-07-28","6,50"
"Dx Pro Designer","iu restrictions","2026-07-29","0,50"
"Dx Pro Designer","Dxpro weekly","2026-07-29","1,50"
"Dx Pro Designer","MtP fixes","2026-07-29","2,50"
"Dx Pro Designer","Wire lengths","2026-07-29","3,00"
"Dx Pro Designer","iu restrictions","2026-07-29","0,50"
"Dx Pro Designer","iu restrictions","2026-07-30","2,00"
"Dx Pro Designer","MtP fixes","2026-07-30","8,00"
"Dx Pro Designer","mtp fixes","2026-07-31","1,50"
"Refrigeration - Development","EEV manual selection fix + deploy","2026-07-31","2,00"
"Dx Pro Designer","Wire lenghts","2026-07-31","0,50"
"Dx Pro Designer","iu restrictions","2026-07-31","1,00"
"Refrigeration - Development","EEV manual selection fix + deploy","2026-07-31","1,50"
"Dx Pro Designer","iu restrictions","2026-07-31","1,50"
